id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
SE;Sudeste/Centro-Oeste;18/04/2000 00:00:00;27.175,52500000
N;Norte;19/04/2000 00:00:00;2.471,36250000
NE;Nordeste;19/04/2000 00:00:00;6.040,55833333
S;Sul;19/04/2000 00:00:00;7.086,29166667
SE;Sudeste/Centro-Oeste;19/04/2000 00:00:00;27.274,26250000
N;Norte;20/04/2000 00:00:00;2.442,71250000
NE;Nordeste;20/04/2000 00:00:00;5.765,41666667
S;Sul;20/04/2000 00:00:00;6.825,31250000
SE;Sudeste/Centro-Oeste;20/04/2000 00:00:00;26.322,39166667
N;Norte;21/04/2000 00:00:00;2.288,51250000
NE;Nordeste;21/04/2000 00:00:00;4.969,49583333
S;Sul;21/04/2000 00:00:00;5.016,91666667
